City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
297,Qandala,SO,11.472,49.8728,85.32,64,52,6.08,broken clouds
298,Saint-Louis,SN,16.3333,-15.0,81.23,19,0,15.5,clear sky
299,Belyy Yar,RU,53.6039,91.3903,46.29,61,0,2.24,clear sky
300,Eyl,SO,7.9803,49.8164,82.89,76,26,6.73,scattered clouds
301,Sandanski,BG,41.5667,23.2833,56.07,93,100,0.76,overcast clouds
302,Aleksandrov Gay,RU,50.147,48.5704,47.23,62,100,8.37,overcast clouds
303,Pokhara,NP,28.2333,83.9833,72.82,38,9,6.13,clear sky
304,Aswan,EG,24.0934,32.907,90.46,11,0,8.88,clear sky
305,Rosario Do Sul,BR,-30.2583,-54.9142,49.77,77,0,9.06,clear sky
306,Amapa,BR,1.0,-52.0,72.66,99,84,1.72,broken clouds
307,Pakhtakoron,TJ,40.1571,68.7466,66.29,63,3,1.63,clear sky
308,Ancud,CL,-41.8697,-73.8203,44.15,79,100,2.51,overcast clouds
309,Dhidhdhoo,MV,6.8833,73.1,85.48,72,91,10.71,overcast clouds
310,Omaruru,NA,-21.4333,15.9333,62.78,57,5,1.77,clear sky
311,Chabahar,IR,25.2919,60.643,84.18,79,10,13.94,clear sky
312,Somerset,US,40.5668,-74.5496,59.45,19,0,11.5,clear sky
313,Mazagao,BR,-0.115,-51.2894,78.85,95,95,3.36,overcast clouds
314,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,95,37,8.61,light rain
315,Rio Do Sul,BR,-27.2142,-49.6431,60.55,99,100,1.7,overcast clouds
316,Atasu,KZ,48.6814,71.6433,56.95,30,90,4.56,overcast clouds
317,Montepuez,MZ,-13.1256,38.9997,62.46,98,8,4.18,clear sky
318,Solton,RU,52.8429,86.4787,52.57,58,100,3.85,overcast clouds
319,Jatai,BR,-17.8814,-51.7144,68.47,52,11,2.53,few clouds
320,Altay,CN,47.8667,88.1167,47.64,41,1,8.1,clear sky
321,Anloga,GH,5.7947,0.8973,82.71,76,59,7.43,broken clouds
322,Beloha,MG,-25.1667,45.05,63.91,80,0,9.01,clear sky
323,Jutai,BR,-5.1833,-68.9,71.53,98,100,2.59,overcast clouds
324,Toguchin,RU,55.2353,84.3858,57.34,53,100,7.63,overcast clouds
325,Johnstown,US,40.3267,-78.922,56.19,34,0,6.91,clear sky
326,Saint George,US,37.1041,-113.5841,79.39,12,0,21.85,clear sky
327,Port Shepstone,ZA,-30.7414,30.455,67.71,77,99,13.38,light rain
328,Jardim,BR,-21.4803,-56.1381,77.11,59,44,5.28,scattered clouds
329,Saint-Denis,FR,48.9167,2.3333,51.08,78,20,11.5,few clouds
330,Klaksvik,FO,62.2266,-6.589,45.52,77,100,7.74,overcast clouds
331,Rincon,US,32.296,-81.2354,71.85,56,40,12.66,scattered clouds
332,Beyneu,KZ,45.3167,55.2,68.94,23,61,12.5,broken clouds
333,Girau Do Ponciano,BR,-9.8842,-36.8289,70.02,86,96,3.76,overcast clouds
334,Mitsamiouli,KM,-11.3847,43.2844,79.74,79,54,12.64,light rain
335,Kaoma,ZM,-14.7833,24.8,59.74,73,56,4.9,broken clouds
336,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,92,75,11.5,broken clouds
337,Pointe Michel,DM,15.25,-61.3833,79.39,82,94,9.17,overcast clouds
338,San Lawrenz,MT,36.0553,14.204,60.85,72,68,3.11,broken clouds
339,Chapais,CA,49.7834,-74.8492,37.18,84,11,6.31,few clouds
340,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,63.63,56,100,8.01,overcast clouds
341,Sorland,NO,67.667,12.6934,37.47,68,100,24.81,overcast clouds
342,Kolyvan,RU,55.3053,82.7391,58.62,58,100,7.23,overcast clouds
343,Khorixas,NA,-20.3667,14.9667,72.09,42,55,6.15,broken clouds
344,Saint Anthony,US,45.0205,-93.218,60.91,73,100,17.27,moderate rain
345,Oswego,US,43.4501,-76.1497,46.54,78,0,4.74,clear sky
346,Port Hawkesbury,CA,45.6169,-61.3485,40.96,98,100,8.05,mist
347,Touros,BR,-5.1989,-35.4608,77.43,78,85,10.42,overcast clouds
348,Navalcarnero,ES,40.2891,-4.012,63.66,74,29,5.73,scattered clouds
349,Gamba,GA,-2.65,10.0,77.25,92,100,5.61,light rain
350,Thompson,CA,55.7435,-97.8558,46.47,76,85,2.68,overcast clouds
351,Giera,RO,45.4072,20.9922,53.69,89,13,3.29,light rain
352,Yar-Sale,RU,66.8333,70.8333,19.94,84,50,14.25,scattered clouds
353,Lamballe,FR,48.4676,-2.5144,49.8,85,100,9.37,overcast clouds
354,Ust-Koksa,RU,50.2696,85.6108,42.19,66,94,1.72,overcast clouds
355,Tevriz,RU,57.509,72.4042,34.59,86,59,5.37,broken clouds
356,Sassandra,CI,4.95,-6.0833,79.74,85,16,6.22,light rain
357,Minna,NG,9.6139,6.5569,81.25,64,63,4.41,broken clouds
358,Aliwal North,ZA,-30.6937,26.7114,48.81,41,0,3.4,clear sky
359,Rocha,UY,-34.4833,-54.3333,46.74,78,12,4.32,few clouds
360,Chor,PK,25.5167,69.7667,84.45,51,0,9.13,clear sky
361,Ladario,BR,-19.0047,-57.6017,81.5,46,59,5.61,broken clouds
362,Skelleftea,SE,64.7507,20.9528,39.99,51,100,17.27,overcast clouds
363,Canelones,UY,-34.6444,-56.2886,46.11,71,1,3.24,light rain
364,Leh,IN,34.1667,77.5833,41.11,57,82,4.47,broken clouds
365,Usinsk,RU,65.9939,57.5281,17.04,90,100,9.73,overcast clouds
